"Latitude(deg)","Longitude(deg)","TxxEGM96","TxyEGM96","TxzEGM96","TyyEGM96","TyzEGM96","TzzEGM96"
32.,50.,73.01356318216895,2.4006937724387574,-7.39410682374271,-80.43668779484435,-6.644490343224383,7.423124612675498
32.,50.1,73.05656242347179,2.0475512314656226,-7.171340778943026,-78.43137178847229,-7.612866804433313,5.374809365000691
32.,50.2,73.01834208138669,1.7415386507245778,-7.031660085203231,-76.31012614265126,-7.8541826498404035,3.291784061264489
32.,50.3,72.89153008084921,1.4960644884405527,-6.939457404969159,-74.33096373084895,-7.409539388057002,1.4394336499997145
32.,50.4,72.68378504328001,1.3104924039408097,-6.85930428510082,-72.7161588075743,-6.415936222053185,0.03237376429436462
32.,50.5,72.41788869133325,1.171214438237523,-6.761842987703874,-71.619505556191,-5.079724027636779,-0.7983831351421309
32.,50.6,72.12969009611258,1.054822941771345,-6.62859068181551,-71.10710511822225,-3.6399739768686517,-1.0225849778901528
32.,50.7,71.86406312451258,0.9328958145938768,-6.454907793818249,-71.15391296347076,-2.32890085196657,-0.7101501610418554
32.,50.8,71.66933779468621,0.7776023120438013,-6.250657176016007,-71.65516145266923,-1.3363425396004958,-0.014176342017027404
32.,50.9,71.59090080000198,0.5671636691160036,-6.038455670874191,-72.44921186503117,-0.7838173146254006,0.858311065029126
32.,51.,71.664796475269,0.29021061042813057,-5.849827513692403,-73.34685178848315,-0.7113468889981077,1.68205531321418
32.,51.1,71.91218021517987,-0.051723220335991534,-5.719929597883015,-74.16170191408106,-1.0776607787397912,2.249521698901199
32.,51.2,72.33538273834817,-0.44398125302871544,-5.681756890361579,-74.73709154175314,-1.7721597492455792,2.4017088034050844
32.,51.3,72.91615183027596,-0.8608118363254152,-5.760800753378077,-74.96614038831763,-2.635505648992921,2.0499885580416373
32.,51.4,73.61637549094465,-1.2691928674019084,-5.971009219373309,-74.80338820574536,-3.4850602683060323,1.1870127148007557
32.,51.5,74.3812900280088,-1.633678551972295,-6.312613991909759,-74.26773455093507,-4.141508078557845,-0.11355547707376949
32.,51.6,75.14487349564452,-1.921342067490712,-6.772008333680591,-73.4374388244675,-4.453588825958218,-1.7074346711771409
32.,51.7,75.83685223105428,-2.105938776562349,-7.3234691892993835,-72.4384418489106,-4.3186085984929115,-3.3984103821437905
32.,51.8,76.39053548557932,-2.170650901462255,-7.932203370523188,-71.42744278085001,-3.6970360109517064,-4.96309270472928
32.,51.9,76.7505643857384,-2.1091354558395907,-8.558028924855412,-70.57123396836482,-2.6199211876500472,-6.1793304173735395
32.,52.,76.87963415944057,-1.9249929096304768,-9.159009767572721,-70.02398005728946,-1.188169654919715,-6.855654102151109
32.1,50.,72.46838017403391,2.3082635298753673,-7.428455142136349,-79.91606499835402,-6.982133108347457,7.447684824320149
32.1,50.1,72.55370952391591,2.039285831385105,-7.175790142562814,-77.96033432776728,-7.871370391992231,5.406624803851328
32.1,50.2,72.56816271843829,1.830654911959926,-6.9437716068285,-75.90364324918013,-8.073432898046384,3.3354805307418043
32.1,50.3,72.50715916062671,1.680317877134538,-6.697767488637638,-73.98704111910992,-7.627893700316917,1.4798819584832072
32.1,50.4,72.37839197580034,1.5710907087732864,-6.411962402519663,-72.41698290967814,-6.663059327736371,0.03859093387776721
32.1,50.5,72.20196163440225,1.4739502139838465,-6.074976606492786,-71.33523784397069,-5.370832963610198,-0.8667237904316623
32.1,50.6,72.0087808157575,1.3534653018600447,-5.693218810905549,-70.80179799385449,-3.972443095220936,-1.2069828219030292
32.1,50.7,71.83728947162028,1.174544205130239,-5.291323407255232,-70.79261460681283,-2.681845479110665,-1.0446748648072814
32.1,50.8,71.72878500504645,0.9093978854102557,-4.90946634215425,-71.21101533587037,-1.673334081227345,-0.5177696691759891
32.1,50.9,71.72190659173812,0.5435253649513236,-4.597862908111559,-71.90930486526308,-1.0583589032428493,0.18739827352488572
32.1,51.,71.84697734733064,0.07964698484912269,-4.409237377833112,-72.71575002279342,-0.8742539067679912,0.8687726754627108
32.1,51.1,72.12097722463176,-0.46116270344899385,-4.390427140642625,-73.46201211060415,-1.0851423237659918,1.3410348859725356
32.1,51.2,72.54388170208006,-1.0414123816673677,-4.574466749851431,-74.00692562595673,-1.5932611694171661,1.4630439238766777
32.1,51.3,73.09695999385534,-1.6119284337639441,-4.974446928992971,-74.25393469770343,-2.257683619162743,1.1569747038482732
32.1,51.4,73.7433985560771,-2.1186101183753174,-5.580161295431217,-74.16101725347379,-2.9170041057159306,0.4176186973966006
32.1,51.5,74.43132844002781,-2.5100669459631475,-6.35808702323012,-73.74315878561762,-3.412827434001961,-0.6881696544100299
32.1,51.6,75.09902290750244,-2.744852251352706,-7.254680992326662,-73.06817248284662,-3.6115549639591458,-2.0308504246557177
32.1,51.7,75.68173247320753,-2.797104395424778,-8.202417729626585,-72.246912472119,-3.4226462718595445,-3.4348200010885854
32.1,51.8,76.11937594347256,-2.659728741540715,-9.127556363953277,-71.41888842617728,-2.81200996577392,-4.700487517295349
32.1,51.9,76.36414234024657,-2.344731761752518,-9.958384056381467,-70.73424519593316,-1.8093770564379796,-5.629897144313355
32.1,52.,76.38700694786729,-1.8808529897674449,-10.632684605417777,-70.3332639437091,-0.5085579655986842,-6.053743004158077
32.2,50.,71.81716855495515,2.150997736946361,-7.161467141780678,-79.46985153736597,-7.317052838226507,7.65268298241082
32.2,50.1,71.98964992673245,1.9421876742349198,-6.894768697242931,-77.58438978722697,-8.190822582766744,5.594739860494462
32.2,50.2,72.12494302749019,1.8038511863269915,-6.601906261656445,-75.59838895092979,-8.41988732341545,3.4734459234396016
32.2,50.3,72.21716627774084,1.7231334731384784,-6.249876714573032,-73.7336591147774,-8.033752503085408,1.516492837036436
32.2,50.4,72.26737482099357,1.6709886102663902,-5.820543529068376,-72.18062754378941,-7.143101166705707,-0.08674727720417981
32.2,50.5,72.28419892130357,1.6069727174603856,-5.316219924406263,-71.07119787413957,-5.917240524551565,-1.213001047163868
